Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,transf log(1/p val),Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-77288,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,1,21,0.001473891,0.806054074,,0.806054074,1,6,4.87E-04,9606,Homo sapiens,Decr1,,R-HSA-109343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-549127,Organic cation transport,2,39,0.002737226,0.807704379,,0.807704379,2,9,7.31E-04,9606,Homo sapiens,Slc22a4,,R-HSA-549241;R-HSA-549297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-445989,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,2,39,0.002737226,0.807704379,,0.807704379,1,5,4.06E-04,9606,Homo sapiens,Irak2;Nod1,,R-HSA-168184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5365859,RA biosynthesis pathway,2,39,0.002737226,0.807704379,,0.807704379,2,11,8.94E-04,9606,Homo sapiens,Dhrs3;Adh1,,R-HSA-5362564;R-HSA-5419165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9006921,Integrin signaling,2,39,0.002737226,0.807704379,,0.807704379,3,24,0.001949951,9606,Homo sapiens,Syk;Pdk1,,R-HSA-429415;R-HSA-429441;R-HSA-432110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-354192,Integrin alphaIIb beta3 signaling,2,39,0.002737226,0.807704379,,0.807704379,3,24,0.001949951,9606,Homo sapiens,Syk;Pdk1,,R-HSA-429415;R-HSA-429441;R-HSA-432110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-397795,G-protein beta:gamma signalling,2,39,0.002737226,0.807704379,,0.807704379,1,15,0.00121872,9606,Homo sapiens,Akt3;Pdk1,,R-HSA-9603279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5685942,HDR through Homologous Recombination (HRR),4,72,0.005053341,0.81217001,,0.81217001,13,19,0.001543711,9606,Homo sapiens,Wrn;Xrcc3;Atm;Bard1,,R-HSA-5693620;R-HSA-5693589;R-HSA-5686483;R-HSA-5693584;R-HSA-5685341;R-HSA-5693593;R-HSA-5693561;R-HSA-5685319;R-HSA-5686469;R-HSA-5693539;R-HSA-5685838;R-HSA-5686410;R-HSA-5686440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-69615,G1/S DNA Damage Checkpoints,4,72,0.005053341,0.81217001,,0.81217001,11,26,0.002112447,9606,Homo sapiens,Cds1;Atm;Cdkn2a;Psmb9,,R-HSA-69600;R-HSA-349444;R-HSA-6804741;R-HSA-69685;R-HSA-349426;R-HSA-6804879;R-HSA-69608;R-HSA-349455;R-HSA-6804955;R-HSA-264458;R-HSA-5693609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-3700989,Transcriptional Regulation by TP53,33,486,0.034110051,0.81399345,,0.81399345,56,259,0.021043224,9606,Homo sapiens,Cds1;Btg1;Cnot7;Rrm2b;Ccng1;Pten;Bard1;Taf9b;Cnot6l;Igfbp3;Cox7a2l;Wrn;Trp53inp1;Akt3;E2f1;Cdk1;Prdm1;Tfdp2;Atm;Cdkn2a;Bcl2l14;Pdk1,,R-HSA-6799332;R-HSA-2318752;R-HSA-6804194;R-HSA-6804193;R-HSA-349455;R-HSA-163214;R-HSA-6800490;R-HSA-6805620;R-HSA-6791409;R-HSA-6799097;R-HSA-3215251;R-HSA-5632887;R-HSA-6798031;R-HSA-5632892;R-HSA-6798282;R-HSA-69685;R-HSA-5632993;R-HSA-6795473;R-HSA-6804191;R-HSA-6798044;R-HSA-6804188;R-HSA-6804955;R-HSA-6792871;R-HSA-6797606;R-HSA-6798372;R-HSA-6803875;R-HSA-6800035;R-HSA-198599;R-HSA-6800044;R-HSA-6792491;R-HSA-6804266;R-HSA-6800042;R-HSA-198609;R-HSA-2321904;R-HSA-6804276;R-HSA-6799409;R-HSA-6797616;R-HSA-6793661;R-HSA-6798268;R-HSA-6799416;R-HSA-6804998;R-HSA-6804741;R-HSA-6804996;R-HSA-6804879;R-HSA-6798347;R-HSA-6805640;R-HSA-6805399;R-HSA-6798353;R-HSA-349426;R-HSA-6797712;R-HSA-6792863;R-HSA-6791327;R-HSA-6791323;R-HSA-6805785;R-HSA-5632939;R-HSA-5693609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-69202,Cyclin E associated events during G1/S transition ,5,88,0.006176305,0.815483799,,0.815483799,3,20,0.001624959,9606,Homo sapiens,Akt3;E2f1;Tfdp2;Lin9;Psmb9,,R-HSA-187574;R-HSA-198613;R-HSA-188345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-390522,Striated Muscle Contraction,2,40,0.002807412,0.818736216,,0.818736216,4,4,3.25E-04,9606,Homo sapiens,Tmod1;Actc1,,R-HSA-390597;R-HSA-390598;R-HSA-390593;R-HSA-390595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-2022928,HS-GAG biosynthesis,2,40,0.002807412,0.818736216,,0.818736216,13,14,0.001137472,9606,Homo sapiens,Sdc4;Sdc3,,R-HSA-2076383;R-HSA-2076508;R-HSA-2076371;R-HSA-2024108;R-HSA-2022860;R-HSA-2022856;R-HSA-2076392;R-HSA-2022887;R-HSA-2022919;R-HSA-2024100;R-HSA-2076611;R-HSA-2076419;R-HSA-2022851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-199418,Negative regulation of the PI3K/AKT network,8,134,0.009404829,0.819523612,,0.819523612,6,10,8.12E-04,9606,Homo sapiens,Ins1;Egf;Akt3;Pten;Pip5k1b;Pik3r3;Vav1;Ppp2r5a,,R-HSA-199443;R-HSA-2316434;R-HSA-8857925;R-HSA-199425;R-HSA-199456;R-HSA-1676082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-8950505,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,4,73,0.005123526,0.820395054,,0.820395054,2,36,0.002924927,9606,Homo sapiens,Pdcd4;Lcp1,,R-HSA-8950426;R-HSA-8950721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5358606,Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),1,22,0.001544076,0.820636334,,0.820636334,7,9,7.31E-04,9606,Homo sapiens,Msh3,,R-HSA-5358545;R-HSA-5358513;R-HSA-5358512;R-HSA-5358519;R-HSA-5358919;R-HSA-5358619;R-HSA-5444511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-163615,PKA activation,1,22,0.001544076,0.820636334,,0.820636334,2,3,2.44E-04,9606,Homo sapiens,Prkar2b,,R-HSA-111925;R-HSA-8951727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5205685,Pink/Parkin Mediated Mitophagy,1,22,0.001544076,0.820636334,,0.820636334,5,8,6.50E-04,9606,Homo sapiens,Pink1,,R-HSA-5205661;R-HSA-5205672;R-HSA-5205652;R-HSA-5205682;R-HSA-5205681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-4641263,Regulation of FZD by ubiquitination,1,22,0.001544076,0.820636334,,0.820636334,3,6,4.87E-04,9606,Homo sapiens,Lgr4,,R-HSA-4641206;R-HSA-4641205;R-HSA-4641246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-1963642,PI3K events in ERBB2 signaling,1,22,0.001544076,0.820636334,,0.820636334,3,7,5.69E-04,9606,Homo sapiens,Egf,,R-HSA-1306963;R-HSA-1306965;R-HSA-1306957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-2022857,Keratan sulfate degradation,1,22,0.001544076,0.820636334,,0.820636334,2,7,5.69E-04,9606,Homo sapiens,Hexb,,R-HSA-9638078;R-HSA-1638053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-139853,Elevation of cytosolic Ca2+ levels,1,22,0.001544076,0.820636334,,0.820636334,1,5,4.06E-04,9606,Homo sapiens,Itpr2,,R-HSA-139854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-209905,Catecholamine biosynthesis,1,22,0.001544076,0.820636334,,0.820636334,1,6,4.87E-04,9606,Homo sapiens,Ddc,,R-HSA-209924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-727802,Transport of nucleotide sugars,1,22,0.001544076,0.820636334,,0.820636334,1,10,8.12E-04,9606,Homo sapiens,Slc35a3,,R-HSA-741450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-380108,Chemokine receptors bind chemokines,3,57,0.004000561,0.821127824,,0.821127824,3,19,0.001543711,9606,Homo sapiens,Ccrl2;Ackr3;Ccr5,,R-HSA-373061;R-HSA-374214;R-HSA-3296301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5617833,Cilium Assembly,13,208,0.01459854,0.823813167,,0.823813167,18,50,0.004062398,9606,Homo sapiens,Ift74;Ift88;Ttc30b;Prkar2b;Nde1;Wdr60;Cetn2;Cep70;Cdk1;Haus4;Kif17;Rpgrip1l;Haus2,,R-HSA-5624949;R-HSA-5626228;R-HSA-5624948;R-HSA-5624951;R-HSA-5625424;R-HSA-5626227;R-HSA-5625426;R-HSA-5617820;R-HSA-5626681;R-HSA-5617816;R-HSA-5624952;R-HSA-5638009;R-HSA-5617825;R-HSA-5625421;R-HSA-5626220;R-HSA-5626223;R-HSA-5625416;R-HSA-5626699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-8948751,Regulation of PTEN stability and activity,4,74,0.005193711,0.828320804,,0.828320804,13,13,0.001056224,9606,Homo sapiens,Akt3;Pten;Psmb9;Frk,,R-HSA-6807206;R-HSA-8851011;R-HSA-8850945;R-HSA-8847968;R-HSA-8948832;R-HSA-8948800;R-HSA-8847977;R-HSA-8948775;R-HSA-8850997;R-HSA-8850961;R-HSA-8850992;R-HSA-6807134;R-HSA-8948757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-901042,Calnexin/calreticulin cycle,2,41,0.002877597,0.829197338,,0.829197338,2,13,0.001056224,9606,Homo sapiens,Rnf139;Uggt2,,R-HSA-548884;R-HSA-8867288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-72187,mRNA 3'-end processing,3,58,0.004070747,0.829970295,,0.829970295,3,3,2.44E-04,9606,Homo sapiens,Fyttd1;Upf3b;Papola,,R-HSA-8849157;R-HSA-72180;R-HSA-72185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-202433,Generation of second messenger molecules,3,58,0.004070747,0.829970295,,0.829970295,11,17,0.001381215,9606,Homo sapiens,Was;Lcp2;Fyb,,R-HSA-430135;R-HSA-430183;R-HSA-202241;R-HSA-430180;R-HSA-202375;R-HSA-202331;R-HSA-430190;R-HSA-202216;R-HSA-202248;R-HSA-213407;R-HSA-430201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-912446,Meiotic recombination,3,58,0.004070747,0.829970295,,0.829970295,5,9,7.31E-04,9606,Homo sapiens,Hist2h2be;Atm,,R-HSA-912429;R-HSA-912458;R-HSA-912503;R-HSA-912496;R-HSA-1214188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5655302,Signaling by FGFR1 in disease,3,58,0.004070747,0.829970295,,0.829970295,19,35,0.002843679,9606,Homo sapiens,Stat5b;Bag4;Zmym2,,R-HSA-1839100;R-HSA-1839039;R-HSA-1839065;R-HSA-1839098;R-HSA-5655326;R-HSA-5655263;R-HSA-1839094;R-HSA-8853325;R-HSA-1839031;R-HSA-5655290;R-HSA-8853322;R-HSA-1839091;R-HSA-5655269;R-HSA-1839112;R-HSA-1839080;R-HSA-5655266;R-HSA-5655278;R-HSA-1839078;R-HSA-5655240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,5,90,0.006316676,0.830063847,,0.830063847,3,19,0.001543711,9606,Homo sapiens,Akt3;E2f1;Tfdp2;Lin9;Psmb9,,R-HSA-187574;R-HSA-198613;R-HSA-188345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-180292,GAB1 signalosome,1,23,0.001614262,0.834123105,,0.834123105,9,11,8.94E-04,9606,Homo sapiens,Egf,,R-HSA-177923;R-HSA-177939;R-HSA-177926;R-HSA-177927;R-HSA-177924;R-HSA-177941;R-HSA-177930;R-HSA-177944;R-HSA-177935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-2142670,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),1,23,0.001614262,0.834123105,,0.834123105,2,3,2.44E-04,9606,Homo sapiens,Cyp1a1,,R-HSA-2161890;R-HSA-2161899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-164378,PKA activation in glucagon signalling,1,23,0.001614262,0.834123105,,0.834123105,1,2,1.62E-04,9606,Homo sapiens,Prkar2b,,R-HSA-111925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-73980,RNA Polymerase III Transcription Termination,1,23,0.001614262,0.834123105,,0.834123105,1,2,1.62E-04,9606,Homo sapiens,Nfia,,R-HSA-113454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5358508,Mismatch Repair,1,23,0.001614262,0.834123105,,0.834123105,7,17,0.001381215,9606,Homo sapiens,Msh3,,R-HSA-5358545;R-HSA-5358513;R-HSA-5358512;R-HSA-5358519;R-HSA-5358919;R-HSA-5358619;R-HSA-5444511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-156711,Polo-like kinase mediated events,1,23,0.001614262,0.834123105,,0.834123105,6,15,0.00121872,9606,Homo sapiens,Lin9,,R-HSA-4088298;R-HSA-4088299;R-HSA-4088309;R-HSA-4088306;R-HSA-4088307;R-HSA-4088305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-1181150,Signaling by NODAL,1,23,0.001614262,0.834123105,,0.834123105,4,12,9.75E-04,9606,Homo sapiens,Acvr2a,,R-HSA-1181155;R-HSA-1181351;R-HSA-1181156;R-HSA-1181355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-4419969,Depolymerisation of the Nuclear Lamina,1,23,0.001614262,0.834123105,,0.834123105,2,6,4.87E-04,9606,Homo sapiens,Cdk1,,R-HSA-5195402;R-HSA-5244669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-844456,The NLRP3 inflammasome,1,23,0.001614262,0.834123105,,0.834123105,3,18,0.001462463,9606,Homo sapiens,Txnip,,R-HSA-1250272;R-HSA-1250264;R-HSA-1250253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-417957,P2Y receptors,1,23,0.001614262,0.834123105,,0.834123105,2,13,0.001056224,9606,Homo sapiens,P2ry12,,R-HSA-417829;R-HSA-9611277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-8849932,Synaptic adhesion-like molecules,1,23,0.001614262,0.834123105,,0.834123105,1,8,6.50E-04,9606,Homo sapiens,Rtn4,,R-HSA-8849882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9026395,Biosynthesis of DHA-derived sulfido conjugates,1,23,0.001614262,0.834123105,,0.834123105,1,13,0.001056224,9606,Homo sapiens,Gstm1;Gstm2,,R-HSA-9026777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
