Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,transf log(1/p val),Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,Pathway name short
R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,8,131,0.009194273,0.811137995,,0.811137995,7,49,0.00398115,9606,Homo sapiens,Gmppa;Slc35c1;Gmppb;Dolpp1;Pgm3;Mvd;Nans;St8sia2,,R-HSA-742345;R-HSA-191414;R-HSA-446221;R-HSA-4084978;R-HSA-446200;R-HSA-4084976;R-HSA-446185,Synthesis of substrates in N-glycan biosythesis
R-HSA-9616222,Transcriptional regulation of granulopoiesis,4,71,0.004983156,0.811270525,,0.811270525,7,27,0.002193695,9606,Homo sapiens,Hist1h4i;Cebpb,,R-HSA-9617217;R-HSA-8865505;R-HSA-9617194;R-HSA-9618584;R-HSA-9622377;R-HSA-9617209;R-HSA-9634445,Transcriptional regulation of granulopoiesis
R-HSA-9006921,Integrin signaling,2,39,0.002737226,0.813188808,,0.813188808,20,24,0.001949951,9606,Homo sapiens,Tln1;Bcar1,,R-HSA-354149;R-HSA-443910;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-443905;R-HSA-429441;R-HSA-377644;R-HSA-354124;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-372693;R-HSA-354165;R-HSA-354097;R-HSA-354066;R-HSA-354077;R-HSA-372697;R-HSA-354073,Integrin signaling
R-HSA-354192,Integrin alphaIIb beta3 signaling,2,39,0.002737226,0.813188808,,0.813188808,20,24,0.001949951,9606,Homo sapiens,Tln1;Bcar1,,R-HSA-354149;R-HSA-443910;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-443905;R-HSA-429441;R-HSA-377644;R-HSA-354124;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-372693;R-HSA-354165;R-HSA-354097;R-HSA-354066;R-HSA-354077;R-HSA-372697;R-HSA-354073,Integrin alphaIIb beta3 signaling
R-HSA-445989,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,2,39,0.002737226,0.813188808,,0.813188808,3,5,4.06E-04,9606,Homo sapiens,App;Nfkbib,,R-HSA-168166;R-HSA-9630923;R-HSA-168140,TAK1 activates NFkB by phosphorylation and activation of IKKs complex
R-HSA-1855204,Synthesis of IP3 and IP4 in the cytosol,2,39,0.002737226,0.813188808,,0.813188808,2,12,9.75E-04,9606,Homo sapiens,Ocrl;Inpp5j,,R-HSA-1855213;R-HSA-1855218,Synthesis of IP3 and IP4 in the cytosol
R-HSA-70895,Branched-chain amino acid catabolism,3,56,0.003930376,0.81843876,,0.81843876,7,22,0.001787455,9606,Homo sapiens,Bckdhb;Bcat1;Bcat2,,R-HSA-70723;R-HSA-508179;R-HSA-70724;R-HSA-5693153;R-HSA-70713;R-HSA-508189;R-HSA-5693148,Branched-chain amino acid catabolism
R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,4,72,0.005053341,0.819629681,,0.819629681,2,4,3.25E-04,9606,Homo sapiens,Psmb5;Psmb4;Psmb6;Rpn1,,R-HSA-174105;R-HSA-188191,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
R-HSA-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,4,72,0.005053341,0.819629681,,0.819629681,1,3,2.44E-04,9606,Homo sapiens,Psmb5;Psmb4;Psmb6;Rpn1,,R-HSA-174255,Cdc20:Phospho-APC/C mediated degradation of Cyclin A
R-HSA-69615,G1/S DNA Damage Checkpoints,4,72,0.005053341,0.819629681,,0.819629681,2,26,0.002112447,9606,Homo sapiens,Psmb5;Psmb4;Psmb6;Rpn1,,R-HSA-69600;R-HSA-264458,G1/S DNA Damage Checkpoints
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,6,103,0.007229085,0.8222386,,0.8222386,1,2,1.62E-04,9606,Homo sapiens,Klb;Irs2;Fgfr3;Fgfr1,,R-HSA-2400009,Constitutive Signaling by Aberrant PI3K in Cancer
R-HSA-674695,RNA Polymerase II Pre-transcription Events,5,88,0.006176305,0.823669434,,0.823669434,15,17,0.001381215,9606,Homo sapiens,Supt5;Eaf1;Tceb2;Polr2f;Nelfe,,R-HSA-113409;R-HSA-113411;R-HSA-113413;R-HSA-113414;R-HSA-112392;R-HSA-112395;R-HSA-75856;R-HSA-112435;R-HSA-75891;R-HSA-112434;R-HSA-113429;R-HSA-112437;R-HSA-112436;R-HSA-75862;R-HSA-73946,RNA Polymerase II Pre-transcription Events
R-HSA-977225,Amyloid fiber formation,5,88,0.006176305,0.823669434,,0.823669434,10,33,0.002681183,9606,Homo sapiens,App;Ttr;Hist1h4i;Mfge8;Cst3,,R-HSA-976734;R-HSA-8871494;R-HSA-9010091;R-HSA-6783332;R-HSA-8871506;R-HSA-977224;R-HSA-9010096;R-HSA-5692495;R-HSA-9010034;R-HSA-977136,Amyloid fiber formation
R-HSA-390522,Striated Muscle Contraction,2,40,0.002807412,0.824069144,,0.824069144,4,4,3.25E-04,9606,Homo sapiens,Neb;Dmd,,R-HSA-390597;R-HSA-390598;R-HSA-390593;R-HSA-390595,Striated Muscle Contraction
R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,2,40,0.002807412,0.824069144,,0.824069144,1,2,1.62E-04,9606,Homo sapiens,Skiv2l;Sik1;Nop56,,R-HSA-390470,Association of TriC/CCT with target proteins during biosynthesis
R-HSA-114508,Effects of PIP2 hydrolysis,2,40,0.002807412,0.824069144,,0.824069144,3,9,7.31E-04,9606,Homo sapiens,Trpc7;Itpr1,,R-HSA-426209;R-HSA-139941;R-HSA-139854,Effects of PIP2 hydrolysis
R-HSA-4090294,SUMOylation of intracellular receptors,2,40,0.002807412,0.824069144,,0.824069144,3,25,0.002031199,9606,Homo sapiens,Hdac4;Nr4a2,,R-HSA-4720446;R-HSA-4720432;R-HSA-4755526,SUMOylation of intracellular receptors
R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,1,22,0.001544076,0.824474975,,0.824474975,1,1,8.12E-05,9606,Homo sapiens,Gpc1,,R-HSA-3560802,Defective B3GAT3 causes JDSSDHD
R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,1,22,0.001544076,0.824474975,,0.824474975,8,15,0.00121872,9606,Homo sapiens,Ap2m1,,R-HSA-167601;R-HSA-167537;R-HSA-167633;R-HSA-182198;R-HSA-167637;R-HSA-182186;R-HSA-182171;R-HSA-167597,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
R-HSA-1660517,Synthesis of PIPs at the late endosome membrane,1,22,0.001544076,0.824474975,,0.824474975,2,7,5.69E-04,9606,Homo sapiens,Mtmr4,,R-HSA-1676065;R-HSA-1675795,Synthesis of PIPs at the late endosome membrane
R-HSA-2408550,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,1,22,0.001544076,0.824474975,,0.824474975,2,7,5.69E-04,9606,Homo sapiens,Papss1,,R-HSA-2408540;R-HSA-2408525,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se
R-HSA-113510,E2F mediated regulation of DNA replication,1,22,0.001544076,0.824474975,,0.824474975,1,4,3.25E-04,9606,Homo sapiens,Orc6,,R-HSA-113638,E2F mediated regulation of DNA replication
R-HSA-5205685,Pink/Parkin Mediated Mitophagy,1,22,0.001544076,0.824474975,,0.824474975,1,8,6.50E-04,9606,Homo sapiens,Tomm40,,R-HSA-5205661,Pink/Parkin Mediated Mitophagy
R-HSA-5210891,Uptake and function of anthrax toxins,1,22,0.001544076,0.824474975,,0.824474975,1,19,0.001543711,9606,Homo sapiens,Map2k2,,R-HSA-5211356,Uptake and function of anthrax toxins
R-HSA-532668,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,3,57,0.004000561,0.827505085,,0.827505085,5,18,0.001462463,9606,Homo sapiens,Syvn1;Mogs;Calr,,R-HSA-548890;R-HSA-901047;R-HSA-535717;R-HSA-532678;R-HSA-8867288,N-glycan trimming in the ER and Calnexin/Calreticulin cycle
R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,4,73,0.005123526,0.82768135,,0.82768135,1,6,4.87E-04,9606,Homo sapiens,Psmb5;Psmb4;Psmb6;Rpn1,,R-HSA-174255,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
R-HSA-8950505,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,4,73,0.005123526,0.82768135,,0.82768135,2,36,0.002924927,9606,Homo sapiens,Rplp0;Bola2,,R-HSA-8950344;R-HSA-8950322,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
R-HSA-5696400,Dual Incision in GG-NER,2,41,0.002877597,0.834376443,,0.834376443,2,3,2.44E-04,9606,Homo sapiens,Pold2;Pold1,,R-HSA-5690213;R-HSA-5690988,Dual Incision in GG-NER
R-HSA-901042,Calnexin/calreticulin cycle,2,41,0.002877597,0.834376443,,0.834376443,4,13,0.001056224,9606,Homo sapiens,Syvn1;Calr,,R-HSA-548890;R-HSA-901047;R-HSA-535717;R-HSA-8867288,Calnexin/calreticulin cycle
R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,4,74,0.005193711,0.835432374,,0.835432374,1,4,3.25E-04,9606,Homo sapiens,Psmb5;Psmb4;Psmb6;Rpn1,,R-HSA-69016,CDK-mediated phosphorylation and removal of Cdc6
R-HSA-72187,mRNA 3'-end processing,3,58,0.004070747,0.836180768,,0.836180768,3,3,2.44E-04,9606,Homo sapiens,Ddx39;Srsf2;Pabpn1,,R-HSA-8849157;R-HSA-72180;R-HSA-72185,mRNA 3'-end processing
R-HSA-5655302,Signaling by FGFR1 in disease,3,58,0.004070747,0.836180768,,0.836180768,21,35,0.002843679,9606,Homo sapiens,Fgfr1,,R-HSA-1839100;R-HSA-2023455;R-HSA-2023451;R-HSA-1839098;R-HSA-5654544;R-HSA-5654545;R-HSA-5655326;R-HSA-5655263;R-HSA-1839094;R-HSA-8853325;R-HSA-5655290;R-HSA-1982066;R-HSA-8853322;R-HSA-1982065;R-HSA-5655269;R-HSA-5655266;R-HSA-5655278;R-HSA-2023462;R-HSA-2023460;R-HSA-5655240;R-HSA-2023456,Signaling by FGFR1 in disease
R-HSA-162909,Host Interactions of HIV factors,9,150,0.010527793,0.836591802,,0.836591802,20,54,0.00438739,9606,Homo sapiens,Psmb5;Ap2m1;Psmb4;Sec13;Psmb6;Ranbp1;Rpn1;Tceb2;Rangap1,,R-HSA-180739;R-HSA-180710;R-HSA-165028;R-HSA-182186;R-HSA-180555;R-HSA-180622;R-HSA-167597;R-HSA-165043;R-HSA-167601;R-HSA-167537;R-HSA-167633;R-HSA-182198;R-HSA-165047;R-HSA-167637;R-HSA-180603;R-HSA-182171;R-HSA-165055;R-HSA-180540;R-HSA-180732;R-HSA-180573,Host Interactions of HIV factors
R-HSA-1912420,Pre-NOTCH Processing in Golgi,1,23,0.001614262,0.837832785,,0.837832785,8,8,6.50E-04,9606,Homo sapiens,Notch2,,R-HSA-1912382;R-HSA-1912379;R-HSA-1912378;R-HSA-1912372;R-HSA-1912374;R-HSA-1912369;R-HSA-1912352;R-HSA-1912355,Pre-NOTCH Processing in Golgi
R-HSA-9613829,Chaperone Mediated Autophagy,1,23,0.001614262,0.837832785,,0.837832785,9,19,0.001543711,9606,Homo sapiens,Plin3,,R-HSA-9625188;R-HSA-9620197;R-HSA-9622840;R-HSA-9615721;R-HSA-9624158;R-HSA-9622831;R-HSA-9625196;R-HSA-9626060;R-HSA-9625197,Chaperone Mediated Autophagy
R-HSA-432142,Platelet sensitization by LDL,1,23,0.001614262,0.837832785,,0.837832785,3,9,7.31E-04,9606,Homo sapiens,Lrp8,,R-HSA-432129;R-HSA-8948034;R-HSA-432121,Platelet sensitization by LDL
R-HSA-2564830,Cytosolic iron-sulfur cluster assembly,1,23,0.001614262,0.837832785,,0.837832785,1,3,2.44E-04,9606,Homo sapiens,Pold1,,R-HSA-2564828,Cytosolic iron-sulfur cluster assembly
R-HSA-1237044,Erythrocytes take up carbon dioxide and release oxygen,1,23,0.001614262,0.837832785,,0.837832785,1,7,5.69E-04,9606,Homo sapiens,Cyb5r2,,R-HSA-6806831,Erythrocytes take up carbon dioxide and release oxygen
R-HSA-2142845,Hyaluronan metabolism,1,23,0.001614262,0.837832785,,0.837832785,1,13,0.001056224,9606,Homo sapiens,Has1,,R-HSA-2160851,Hyaluronan metabolism
R-HSA-1480926,O2/CO2 exchange in erythrocytes,1,23,0.001614262,0.837832785,,0.837832785,1,13,0.001056224,9606,Homo sapiens,Cyb5r2,,R-HSA-6806831,O2/CO2 exchange in erythrocytes
R-HSA-1483249,Inositol phosphate metabolism,5,90,0.006316676,0.837888855,,0.837888855,10,71,0.005768606,9606,Homo sapiens,Ippk;Isyna1;Ocrl;Nudt11;Inpp5j,,R-HSA-1855165;R-HSA-1855213;R-HSA-1855198;R-HSA-1855176;R-HSA-1855178;R-HSA-1855179;R-HSA-1855174;R-HSA-2023973;R-HSA-2023971;R-HSA-1855218,Inositol phosphate metabolism
R-HSA-5687128,MAPK6/MAPK4 signaling,6,106,0.007439641,0.84191134,,0.84191134,9,40,0.003249919,9606,Homo sapiens,Psmb5;Psmb4;Psmb6;Rpn1;Mapk4,,R-HSA-5687094;R-HSA-5687079;R-HSA-5687109;R-HSA-5687107;R-HSA-5687091;R-HSA-5687120;R-HSA-5687105;R-HSA-5687086;R-HSA-5687112,MAPK6/MAPK4 signaling
R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,4,75,0.005263897,0.842889794,,0.842889794,2,13,0.001056224,9606,Homo sapiens,Psmb5;Psmb4;Psmb6;Rpn1,,R-HSA-174202;R-HSA-174255,APC/C:Cdc20 mediated degradation of mitotic proteins
R-HSA-3858494,Beta-catenin independent WNT signaling,10,166,0.011650758,0.843423812,,0.843423812,15,51,0.004143646,9606,Homo sapiens,Psmb5;Ap2m1;Psmb4;Pard6a;Psmb6;Dvl1;Rpn1;Cltb;Pfn1;Itpr1,,R-HSA-3858489;R-HSA-3858495;R-HSA-5140747;R-HSA-3858482;R-HSA-3858480;R-HSA-5138433;R-HSA-4608854;R-HSA-4608855;R-HSA-3858475;R-HSA-169680;R-HSA-4608852;R-HSA-5138459;R-HSA-3965450;R-HSA-4420052;R-HSA-4608825,Beta-catenin independent WNT signaling
R-HSA-5654687,Downstream signaling of activated FGFR1,2,42,0.002947782,0.844134875,,0.844134875,23,24,0.001949951,9606,Homo sapiens,Fgfr1,,R-HSA-5654582;R-HSA-5654167;R-HSA-5654165;R-HSA-5654578;R-HSA-5654591;R-HSA-5654586;R-HSA-5654587;R-HSA-5654584;R-HSA-5654392;R-HSA-5654692;R-HSA-5654596;R-HSA-5654597;R-HSA-5654149;R-HSA-5654594;R-HSA-5654690;R-HSA-5656064;R-HSA-5654592;R-HSA-5654575;R-HSA-5654573;R-HSA-5654571;R-HSA-5654600;R-HSA-8941623;R-HSA-5654569,Downstream signaling of activated FGFR1
R-HSA-2559585,Oncogene Induced Senescence,2,42,0.002947782,0.844134875,,0.844134875,6,19,0.001543711,9606,Homo sapiens,Id1;Erf,,R-HSA-8979082;R-HSA-3209159;R-HSA-3209160;R-HSA-3209177;R-HSA-3209179;R-HSA-3209165,Oncogene Induced Senescence
R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,2,42,0.002947782,0.844134875,,0.844134875,3,21,0.001706207,9606,Homo sapiens,Hist1h4i;Ung,,R-HSA-110157;R-HSA-110156;R-HSA-9629372,Recognition and association of DNA glycosylase with site containing an affected pyrimidine
R-HSA-111933,Calmodulin induced events,2,42,0.002947782,0.844134875,,0.844134875,1,22,0.001787455,9606,Homo sapiens,Adcy8;Adcy5,,R-HSA-111930,Calmodulin induced events
R-HSA-111997,CaM pathway,2,42,0.002947782,0.844134875,,0.844134875,1,23,0.001868703,9606,Homo sapiens,Adcy8;Adcy5,,R-HSA-111930,CaM pathway
R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,4,76,0.005334082,0.850060813,,0.850060813,2,15,0.00121872,9606,Homo sapiens,Psmb5;Psmb4;Psmb6;Rpn1,,R-HSA-174202;R-HSA-174255,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
R-HSA-937041,IKK complex recruitment mediated by RIP1,1,24,0.001684447,0.850174873,,0.850174873,3,3,2.44E-04,9606,Homo sapiens,Ticam1,,R-HSA-168915;R-HSA-937029;R-HSA-168921,IKK complex recruitment mediated by RIP1
R-HSA-500753,Pyrimidine biosynthesis,1,24,0.001684447,0.850174873,,0.850174873,3,6,4.87E-04,9606,Homo sapiens,Cad,,R-HSA-73571;R-HSA-73573;R-HSA-73577,Pyrimidine biosynthesis
R-HSA-8851708,Signaling by FGFR2 IIIa TM,1,24,0.001684447,0.850174873,,0.850174873,1,2,1.62E-04,9606,Homo sapiens,Polr2f,,R-HSA-8851710,Signaling by FGFR2 IIIa TM
R-HSA-5339562,Uptake and actions of bacterial toxins,3,60,0.004211117,0.852407365,,0.852407365,8,65,0.005281118,9606,Homo sapiens,Map2k2;Syt1;Stx1a,,R-HSA-5244402;R-HSA-5250979;R-HSA-5211356;R-HSA-5244404;R-HSA-5250986;R-HSA-5250972;R-HSA-5244397;R-HSA-181567,Uptake and actions of bacterial toxins
R-HSA-114604,GPVI-mediated activation cascade,2,43,0.003017967,0.85336825,,0.85336825,5,25,0.002031199,9606,Homo sapiens,Col1a2;Col1a1,,R-HSA-139842;R-HSA-453200;R-HSA-437118;R-HSA-453183;R-HSA-114600,GPVI-mediated activation cascade
R-HSA-193775,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,2,43,0.003017967,0.85336825,,0.85336825,3,28,0.002274943,9606,Homo sapiens,Hsd3b7;Slc27a2,,R-HSA-193743;R-HSA-193727;R-HSA-193789,Synthesis of bile acids and bile salts via 24-hydroxycholesterol
R-HSA-8951664,Neddylation,15,241,0.016914655,0.854771904,,0.854771904,21,31,0.002518687,9606,Homo sapiens,Psmb5;Psmb4;Obsl1;Psmb6;Rpn1;Tceb2;Fbxl19;Zbtb16;Csn3;Asb6;Klhl13;Asb4;Commd1;Cul9,,R-HSA-8956040;R-HSA-8956200;R-HSA-8955241;R-HSA-8952618;R-HSA-8956106;R-HSA-8952044;R-HSA-8952620;R-HSA-8956140;R-HSA-8956045;R-HSA-8956099;R-HSA-8952039;R-HSA-8956103;R-HSA-8956184;R-HSA-8955289;R-HSA-8956025;R-HSA-8956026;R-HSA-8952638;R-HSA-8956031;R-HSA-8952639;R-HSA-8956050;R-HSA-8955285,Neddylation
R-HSA-1834949,Cytosolic sensors of pathogen-associated DNA ,4,77,0.005404267,0.856952764,,0.856952764,3,48,0.003899903,9606,Homo sapiens,Nfkbib;Polr3d;Ticam1;Polr2f,,R-HSA-168910;R-HSA-168140;R-HSA-1964482,Cytosolic sensors of pathogen-associated DNA 
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,16,256,0.017967434,0.857395923,,0.857395923,32,32,0.002599935,9606,Homo sapiens,Pcbp1;Srrt;Snrnp70;Prpf3;Srsf2;Pabpn1;Lsm4;Polr2f;Snrpb;Snrpa;Sec13;Ddx39;Sf3b5;Lsm7;Pqbp1,,R-HSA-8849157;R-HSA-72130;R-HSA-159046;R-HSA-75079;R-HSA-75081;R-HSA-159050;R-HSA-75080;R-HSA-72139;R-HSA-75083;R-HSA-75082;R-HSA-72143;R-HSA-111439;R-HSA-77587;R-HSA-158481;R-HSA-158484;R-HSA-75097;R-HSA-75096;R-HSA-75098;R-HSA-77594;R-HSA-72095;R-HSA-72160;R-HSA-72231;R-HSA-72103;R-HSA-72107;R-HSA-158441;R-HSA-158447;R-HSA-72180;R-HSA-156661;R-HSA-72185;R-HSA-72124;R-HSA-72127;R-HSA-159101,Processing of Capped Intron-Containing Pre-mRNA
R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),5,93,0.006527232,0.857441614,,0.857441614,4,14,0.001137472,9606,Homo sapiens,Psmb5;Psmb4;Nfkbib;Psmb6;Rpn1,,R-HSA-1168640;R-HSA-1168643;R-HSA-1168642;R-HSA-1168638,Downstream signaling events of B Cell Receptor (BCR)
R-HSA-9020702,Interleukin-1 signaling,6,109,0.007650197,0.859782792,,0.859782792,4,46,0.003737407,9606,Homo sapiens,Psmb5;App;Psmb4;Nfkbib;Psmb6;Rpn1,,R-HSA-168166;R-HSA-209061;R-HSA-9630923;R-HSA-168140,Interleukin-1 signaling
R-HSA-1362277,Transcription of E2F targets under negative control by DREAM complex,1,25,0.001754632,0.86157841,,0.86157841,12,12,9.75E-04,9606,Homo sapiens,Lin37,,R-HSA-8964475;R-HSA-8964492;R-HSA-8964525;R-HSA-8961665;R-HSA-8964465;R-HSA-8964513;R-HSA-8964482;R-HSA-8964498;R-HSA-8964531;R-HSA-8961619;R-HSA-188345;R-HSA-8964471,Transcription of E2F targets under negative control by DREAM complex
R-HSA-5654720,PI-3K cascade:FGFR4,1,25,0.001754632,0.86157841,,0.86157841,6,7,5.69E-04,9606,Homo sapiens,Klb,,R-HSA-5654662;R-HSA-5654659;R-HSA-5654669;R-HSA-5654717;R-HSA-5654714;R-HSA-5654667,PI-3K cascade:FGFR4
R-HSA-373753,Nephrin family interactions,1,25,0.001754632,0.86157841,,0.86157841,11,13,0.001056224,9606,Homo sapiens,Kirrel,,R-HSA-532603;R-HSA-373734;R-HSA-373747;R-HSA-451377;R-HSA-8981534;R-HSA-373714;R-HSA-451758;R-HSA-373724;R-HSA-373727;R-HSA-451403;R-HSA-373722,Nephrin family interactions
R-HSA-977347,Serine biosynthesis,1,25,0.001754632,0.86157841,,0.86157841,1,7,5.69E-04,9606,Homo sapiens,Psph,,R-HSA-977324,Serine biosynthesis
R-HSA-2142700,Synthesis of Lipoxins (LX),1,25,0.001754632,0.86157841,,0.86157841,1,8,6.50E-04,9606,Homo sapiens,Ptgr1,,R-HSA-2161844,Synthesis of Lipoxins (LX)
R-HSA-428643,Organic anion transporters,1,25,0.001754632,0.86157841,,0.86157841,1,9,7.31E-04,9606,Homo sapiens,Slc25a22,,R-HSA-8875623,Organic anion transporters
R-HSA-162594,Early Phase of HIV Life Cycle,1,25,0.001754632,0.86157841,,0.86157841,1,38,0.003087423,9606,Homo sapiens,Fen1,,R-HSA-182876,Early Phase of HIV Life Cycle
R-HSA-3899300,SUMOylation of transcription cofactors,2,44,0.003088153,0.862099933,,0.862099933,5,27,0.002193695,9606,Homo sapiens,Ddx17;Cbx4,,R-HSA-3108203;R-HSA-3900047;R-HSA-3927824;R-HSA-3296126;R-HSA-3108209,SUMOylation of transcription cofactors
R-HSA-3906995,Diseases associated with O-glycosylation of proteins,4,78,0.005474453,0.863573075,,0.863573075,2,9,7.31E-04,9606,Homo sapiens,Notch2;Thsd7a;Adamts18;Thsd4,,R-HSA-5096538;R-HSA-6785565,Diseases associated with O-glycosylation of proteins
R-HSA-5654736,Signaling by FGFR1,3,62,0.004351488,0.867213552,,0.867213552,44,48,0.003899903,9606,Homo sapiens,Spry2;Fgfr1,,R-HSA-1295634;R-HSA-5654167;R-HSA-934604;R-HSA-1295632;R-HSA-5654165;R-HSA-5654672;R-HSA-5654673;R-HSA-934559;R-HSA-5654596;R-HSA-5654597;R-HSA-5654149;R-HSA-5654594;R-HSA-191062;R-HSA-1295622;R-HSA-1295621;R-HSA-5656064;R-HSA-5654592;R-HSA-190427;R-HSA-5654600;R-HSA-190429;R-HSA-5654582;R-HSA-5654578;R-HSA-5654514;R-HSA-1295604;R-HSA-190245;R-HSA-5654591;R-HSA-1295609;R-HSA-1549564;R-HSA-5654586;R-HSA-5654587;R-HSA-1295613;R-HSA-5654584;R-HSA-5654392;R-HSA-5654692;R-HSA-190256;R-HSA-5654690;R-HSA-5654560;R-HSA-5654575;R-HSA-5654573;R-HSA-1295599;R-HSA-5654571;R-HSA-190268;R-HSA-8941623;R-HSA-5654569,Signaling by FGFR1
R-HSA-8956320,Nucleobase biosynthesis,3,62,0.004351488,0.867213552,,0.867213552,7,23,0.001868703,9606,Homo sapiens,Impdh1;Cad;Gart,,R-HSA-73571;R-HSA-73810;R-HSA-73794;R-HSA-73573;R-HSA-73813;R-HSA-73814;R-HSA-73577,Nucleobase biosynthesis
R-HSA-75105,Fatty acyl-CoA biosynthesis,4,79,0.005544638,0.86992924,,0.86992924,6,24,0.001949951,9606,Homo sapiens,Fasn;Scd2;Scd1;Elovl6,,R-HSA-75872;R-HSA-5690565;R-HSA-5655955;R-HSA-548814;R-HSA-8847579;R-HSA-163756,Fatty acyl-CoA biosynthesis
R-HSA-194315,Signaling by Rho GTPases,30,457,0.032074677,0.87022034,,0.87022034,43,117,0.009506012,9606,Homo sapiens,Tiam1;Srgap3;Tuba1b;Tuba1a;Arhgef1;Tuba1c;Myh14;Ocrl;Myh10;Klc3;Sec13;Dvl1;Rangap1;Rtkn;Tubb5;Tubb3;Tubb2b;Tubb2a;Rcc2;Tubb1;Kif5a;Mad1l1;Cit;Hist1h4i;Limk1;Tuba4a;Flna;Tubb4b;Tubb4a;Pfn1,,R-HSA-5665751;R-HSA-5666197;R-HSA-3858489;R-HSA-5672083;R-HSA-3858495;R-HSA-5666129;R-HSA-5665809;R-HSA-5666001;R-HSA-419087;R-HSA-8981443;R-HSA-2029460;R-HSA-5625883;R-HSA-5625797;R-HSA-5625796;R-HSA-5668932;R-HSA-5666178;R-HSA-5669250;R-HSA-5625870;R-HSA-3928608;R-HSA-5665802;R-HSA-5672329;R-HSA-194913;R-HSA-5668978;R-HSA-419232;R-HSA-5666160;R-HSA-194922;R-HSA-5665982;R-HSA-5625849;R-HSA-5625848;R-HSA-5625784;R-HSA-5665659;R-HSA-5669240;R-HSA-5671993;R-HSA-5666169;R-HSA-5665767;R-HSA-5671972;R-HSA-5671970;R-HSA-5625901;R-HSA-5671919;R-HSA-5625774;R-HSA-419197;R-HSA-203070;R-HSA-5666216,Signaling by Rho GTPases
R-HSA-427359,SIRT1 negatively regulates rRNA expression,2,45,0.003158338,0.87035277,,0.87035277,4,5,4.06E-04,9606,Homo sapiens,Hist1h4i;Taf1c,,R-HSA-427527;R-HSA-5211239;R-HSA-427514;R-HSA-427528,SIRT1 negatively regulates rRNA expression
R-HSA-70221,Glycogen breakdown (glycogenolysis),1,26,0.001824818,0.872114708,,0.872114708,5,15,0.00121872,9606,Homo sapiens,Pygb,,R-HSA-453346;R-HSA-453358;R-HSA-71515;R-HSA-453356;R-HSA-453337,Glycogen breakdown (glycogenolysis)
R-HSA-196836,Vitamin C (ascorbate) metabolism,1,26,0.001824818,0.872114708,,0.872114708,1,9,7.31E-04,9606,Homo sapiens,Slc2a3,,R-HSA-198818,Vitamin C (ascorbate) metabolism
R-HSA-389357,CD28 dependent PI3K/Akt signaling,1,26,0.001824818,0.872114708,,0.872114708,1,9,7.31E-04,9606,Homo sapiens,Mtor,,R-HSA-198640,CD28 dependent PI3K/Akt signaling
R-HSA-174403,Glutathione synthesis and recycling,1,26,0.001824818,0.872114708,,0.872114708,1,9,7.31E-04,9606,Homo sapiens,Chac1,,R-HSA-6785928,Glutathione synthesis and recycling
R-HSA-977443,GABA receptor activation,3,63,0.004421673,0.874113714,,0.874113714,7,12,9.75E-04,9606,Homo sapiens,Kcnj3;Adcy8;Adcy5,,R-HSA-170674;R-HSA-1013020;R-HSA-170666;R-HSA-392206;R-HSA-1013012;R-HSA-170686;R-HSA-170671,GABA receptor activation
